"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1997-11-17";"1400";"39300";"29200";"5700";NA;NA;"700";"14500";NA;"2800";"100";"12000";"17100"
"1997-12-02";NA;"11600";"8200";"3700";NA;NA;"400";"1000";NA;"4200";NA;NA;"15200"
"1997-12-18";NA;NA;NA;NA;NA;NA;NA;"1700";NA;NA;NA;NA;"7100"
"1997-12-29";NA;NA;"700";"1900";NA;NA;NA;"1700";NA;NA;NA;NA;"1700"
"1998-01-12";NA;NA;"6100";"1100";NA;NA;NA;"1500";NA;NA;NA;NA;"4300"
"1998-01-27";NA;"1800";"31000";"500";NA;NA;NA;"3700";NA;"300";NA;NA;"6200"
"1998-02-10";NA;"4600";"12400";NA;NA;NA;NA;"1000";NA;"1700";NA;"2100";"16800"
"1998-02-23";NA;NA;"700";"100";NA;NA;"200";"6900";NA;"100";NA;NA;"7200"
"1998-03-10";"3000";"33400";"17000";"800";"200";"100";"1600";"4400";"100";"21700";NA;"500";"6600"
"1998-03-23";"1600";"96400";"41500";"2200";"1500";"200";"700";"6000";"100";"19600";"200";"7200";"37600"
